thoi_gian,gia,gia_mua,gia_ban,khoi_luong_24h,high24h,low24h,instId,best_purchase_price,best_sale_price
2025-05-29T05:56:22.960862,107389.8,107389.7,107389.8,,109234.5,106745.9,BTCUSDT,10.4081,14.4791
2025-05-29T06:16:32.010046,2677.82,2677.81,2677.82,,2688.63,2608,ETHUSDT,76.3,3.5
2025-05-29T06:16:32.021870,172.09,172.05,172.06,,177.38,168.797,SOLUSDT,490.8,99.8
2025-05-29T06:16:32.021870,107915.9,107915.8,107915.9,,109234.5,106745.9,BTCUSDT,23.6856,9.7642
2025-05-29T06:16:32.332524,107915.9,107915.8,107915.9,,109234.5,106745.9,BTCUSDT,1.1511,17.6777
2025-05-29T06:16:32.340571,2677.87,2677.87,2677.88,,2688.63,2608,ETHUSDT,8.74,18.2
2025-05-29T06:16:32.340571,172.05,172.05,172.051,,177.38,168.797,SOLUSDT,1277.3,84.3
2025-05-29T06:16:32.633318,2677.87,2677.87,2677.88,,2688.63,2608,ETHUSDT,83.81,30.02
2025-05-29T06:16:32.633318,107915.9,107915.8,107915.9,,109234.5,106745.9,BTCUSDT,11.2021,17.5612
2025-05-29T06:16:32.646076,172.05,172.05,172.051,,177.38,168.797,SOLUSDT,1569.5,9.3
2025-05-29T06:16:32.936774,107915.9,107915.8,107915.9,,109234.5,106745.9,BTCUSDT,3.6195,18.4308
2025-05-29T06:16:32.953267,172.051,172.05,172.051,,177.38,168.797,SOLUSDT,1213.9,276
2025-05-29T06:16:32.953267,2677.88,2677.87,2677.88,,2688.63,2608,ETHUSDT,48.67,57.55
2025-05-29T06:16:33.248057,107915.9,107915.8,107915.9,,109234.5,106745.9,BTCUSDT,13.5653,18.6169
2025-05-29T06:16:33.248057,2678.33,2678.32,2678.33,,2688.63,2608,ETHUSDT,17.99,0.72
2025-05-29T06:16:33.248057,172.05,172.05,172.051,,177.38,168.797,SOLUSDT,1371.4,268
2025-05-29T06:16:33.584963,107915.8,107914.2,107915.9,,109234.5,106745.9,BTCUSDT,0.0092,19.6352
2025-05-29T06:16:33.585510,172.05,172.05,172.051,,177.38,168.797,SOLUSDT,1045.6,269.5
2025-05-29T06:16:33.585510,2678.09,2678,2678.07,,2688.63,2608,ETHUSDT,23.91,10.5
2025-05-29T06:16:33.963906,107915.8,107914.2,107915.9,,109234.5,106745.9,BTCUSDT,0.0092,19.6352
2025-05-29T06:16:33.963906,2678.09,2678,2678.07,,2688.63,2608,ETHUSDT,23.91,10.5
2025-05-29T06:16:33.979875,172.05,172.05,172.051,,177.38,168.797,SOLUSDT,1045.6,269.5
2025-05-29T06:16:34.282505,107909.9,107909.8,107909.9,,109234.5,106745.9,BTCUSDT,0.0035,22.6348
2025-05-29T06:16:34.282505,2677.64,2677.3,2677.31,,2688.63,2608,ETHUSDT,0.29,36.39
2025-05-29T06:16:34.301730,172.026,172.03,172.04,,177.38,168.797,SOLUSDT,880.5,603.3
2025-05-29T06:16:35.355018,2677.19,2677.07,2677.08,,2688.63,2608,ETHUSDT,5.65,211.93
2025-05-29T06:16:35.356155,107906.5,107906.5,107906.6,,109234.5,106745.9,BTCUSDT,20.0533,4.2474
2025-05-29T06:16:35.365026,172.049,172.029,172.03,,177.38,168.797,SOLUSDT,0.2,106.3
2025-05-29T06:16:36.188154,107906.5,107906.5,107906.6,,109234.5,106745.9,BTCUSDT,17.843,3.6002
2025-05-29T06:16:36.192890,2677.07,2677.07,2677.29,,2688.63,2608,ETHUSDT,227.05,1.18
2025-05-29T06:16:36.213147,172.025,172.024,172.025,,177.38,168.797,SOLUSDT,1673.7,260.4
2025-05-29T06:16:37.285491,2677.5,2677.52,2677.53,,2688.63,2608,ETHUSDT,36.69,205.51
2025-05-29T06:16:37.286488,107906.5,107906.5,107906.6,,109234.5,106745.9,BTCUSDT,21.1526,11.7498
2025-05-29T06:16:37.287488,172.025,172.039,172.04,,177.38,168.797,SOLUSDT,1497,155.7
2025-05-29T06:16:37.629322,2677.5,2677.5,2677.51,,2688.63,2608,ETHUSDT,147.62,171.71
2025-05-29T06:16:37.630324,107906.6,107906.5,107906.6,,109234.5,106745.9,BTCUSDT,10.845,15.4036
2025-05-29T06:16:37.637215,172.04,172.039,172.04,,177.38,168.797,SOLUSDT,1658.7,198.3
2025-05-29T06:16:38.054840,2677.5,2677.5,2677.51,,2688.63,2608,ETHUSDT,147.5,291.78
2025-05-29T06:16:38.055995,107906.5,107906.5,107906.6,,109234.5,106745.9,BTCUSDT,14.5379,15.4036
2025-05-29T06:16:38.056863,172.059,172.059,172.06,,177.38,168.797,SOLUSDT,509.6,377.2
2025-05-29T06:16:38.471400,2677.07,2677.06,2677.07,,2688.63,2608,ETHUSDT,23.38,342.96
