thoi_gian,gia,gia_mua,gia_ban,khoi_luong_24h
2025-05-26T09:06:52.029425,109522.2,109510.1,109510.6,
2025-05-26T09:06:52.401747,109510.1,109510.1,109510.2,
2025-05-26T09:06:52.707145,109510.1,109510.1,109510.2,
2025-05-26T09:06:52.957783,109500.9,109500,109500.1,
2025-05-26T09:06:53.322392,109500.9,109500,109500.1,
2025-05-26T09:06:53.630260,109500.1,109500,109500.1,
2025-05-26T09:06:53.937642,109500.1,109500,109500.1,
2025-05-26T09:06:54.238915,109487.6,109487.8,109487.9,
2025-05-26T09:06:54.564526,109487.7,109486.2,109486.3,
2025-05-26T09:06:55.165436,109487.7,109486.2,109486.3,
2025-05-26T09:06:55.488911,109465.4,109465.4,109465.5,
2025-05-26T09:06:55.816035,109465.4,109461.5,109461.6,
2025-05-26T09:06:56.130504,109460.1,109460.1,109460.2,
2025-05-26T09:06:56.513686,109478.3,109478.3,109479.8,
2025-05-26T09:06:56.823739,109485,109487.8,109492.4,
2025-05-26T09:06:57.848321,109503.9,109503.9,109504,
2025-05-26T09:06:58.148454,109503.9,109503.9,109504,
2025-05-26T09:06:58.455118,109503.9,109503.9,109504,
2025-05-26T09:06:58.786186,109511.6,109518.6,109520.9,
2025-05-26T09:06:59.199983,109518.6,109518.6,109518.7,
2025-05-26T09:06:59.507205,109518.6,109518.6,109518.7,
2025-05-26T09:06:59.814521,109518.7,109518.6,109518.7,
2025-05-26T09:07:00.127817,109518.6,109518.6,109518.7,
2025-05-26T09:07:00.706278,109518.6,109518.6,109518.7,
2025-05-26T09:07:01.010150,109518.6,109518.6,109518.7,
2025-05-26T09:07:01.335926,109518.6,109531.7,109531.8,
2025-05-26T09:07:01.719286,109531.8,109531.8,109531.9,
2025-05-26T09:07:02.022127,109531.8,109531.8,109531.9,
2025-05-26T09:07:02.337134,109531.8,109531.8,109531.9,
2025-05-26T09:07:02.778115,109531.8,109531.8,109531.9,
2025-05-26T09:07:02.947316,109531.8,109531.8,109531.9,
2025-05-26T09:07:03.256028,109531.8,109531.8,109531.9,
2025-05-26T09:07:03.609784,109531.8,109535.1,109535.2,
2025-05-26T09:07:03.971862,109535.1,109535.1,109535.2,
2025-05-26T09:07:04.280350,109535.1,109535.1,109535.2,
2025-05-26T09:07:04.621973,109535.1,109535.1,109535.2,
2025-05-26T09:07:04.930488,109535.2,109535.1,109535.2,
2025-05-26T09:07:05.300963,109535.1,109535.1,109535.2,
2025-05-26T09:07:05.714282,109535.1,109535.1,109535.2,
2025-05-26T09:07:06.122285,109535.1,109535.1,109535.2,
2025-05-26T09:07:06.418151,109535.1,109535.1,109535.2,
2025-05-26T09:07:06.773656,109535.1,109535.1,109535.2,
2025-05-26T09:07:07.068797,109535.1,109535.1,109535.2,
2025-05-26T09:07:07.392605,109535.2,109535.1,109535.2,
2025-05-26T09:07:07.752004,109535.2,109535.1,109535.2,
2025-05-26T09:07:08.070824,109535.2,109535.1,109535.2,
2025-05-26T09:07:08.379626,109535.2,109535.1,109535.2,
2025-05-26T09:07:08.696502,109535.2,109535.1,109535.2,
2025-05-26T09:07:09.043817,109528.4,109516.9,109517,
2025-05-26T09:07:09.347765,109528.4,109516.9,109517,
2025-05-26T09:07:09.704605,109517,109516.9,109517,
2025-05-26T09:07:10.012218,109517,109516.9,109517,
2025-05-26T09:07:10.353514,109503.9,109503.9,109504,
2025-05-26T09:07:10.673442,109503.9,109503.9,109504,
2025-05-26T09:07:10.971503,109503.9,109503.9,109504,
2025-05-26T09:07:11.345445,109503.9,109503.9,109504,
2025-05-26T09:07:12.263800,109497.6,109497.6,109497.7,
2025-05-26T09:07:12.567867,109497.6,109497.6,109497.7,
2025-05-26T09:07:12.974980,109497.7,109497.6,109497.7,
2025-05-26T09:07:13.290494,109497.7,109497.6,109497.7,
2025-05-26T09:07:13.597473,109497.7,109497.6,109497.7,
2025-05-26T09:07:13.903225,109497.6,109497.6,109497.7,
2025-05-26T09:07:14.219809,109497.6,109497.6,109497.7,
2025-05-26T09:07:14.534330,109497.6,109497.6,109497.7,
2025-05-26T09:07:14.823541,109497.6,109497.5,109497.6,
2025-05-26T09:07:15.136431,109493.7,109492.7,109492.8,
2025-05-26T09:07:16.092218,109492.7,109492.7,109492.8,
2025-05-26T09:07:16.468303,109489,109487.9,109488,
2025-05-26T09:07:17.081329,109489,109487.9,109488,
