symbol,channel,type,timestamp_received,timestamp_start,open,high,low,close,volume_base,volume_quote,price_change,price_change_pct,price_range,price_range_pct,candle_type,timeframe
ADAUSDT,candle5m,SPOT,2025-06-10 21:25:18.867112,2025-06-09 00:20:00,0.6682,0.6688,0.6667,0.6683,45258.97,30211.5044833,9.999999999998899e-05,0.01496557916791215,0.0020999999999999908,0.31427716252618837,bullish,5m
ADAUSDT,candle5m,SPOT,2025-06-10 21:25:18.867115,2025-06-09 00:25:00,0.6683,0.6698,0.6671,0.6687,25334.499,16932.9762878,0.00039999999999995595,0.05985335926978243,0.0026999999999999247,0.40401017507106457,bullish,5m
ADAUSDT,candle5m,SPOT,2025-06-10 21:25:18.867117,2025-06-09 00:30:00,0.6687,0.67,0.668,0.6692,52606.035,35186.050382,0.000500000000000056,0.074771945566032,0.0020000000000000018,0.29908778226409477,bullish,5m
ADAUSDT,candle5m,SPOT,2025-06-10 21:25:18.867119,2025-06-09 00:35:00,0.6692,0.6698,0.6672,0.6674,41227.162,27574.9139326,-0.0018000000000000238,-0.2689778840406491,0.0025999999999999357,0.38852361028092286,bearish,5m
ADAUSDT,candle5m,SPOT,2025-06-10 21:25:18.867121,2025-06-09 00:40:00,0.6674,0.6684,0.6668,0.6681,26975.768,18008.0167815,0.0007000000000000339,0.10488462691040365,0.0016000000000000458,0.23973629008091787,bullish,5m
ADAUSDT,candle5m,SPOT,2025-06-10 21:25:18.867124,2025-06-09 00:45:00,0.6681,0.6684,0.6664,0.6684,29902.858,19956.2232845,0.00029999999999996696,0.044903457566227656,0.0020000000000000018,0.2993563837748842,bullish,5m
ADAUSDT,candle5m,SPOT,2025-06-10 21:25:18.867127,2025-06-09 00:50:00,0.6684,0.6684,0.667,0.6677,25148.238,16792.2258107,-0.0007000000000000339,-0.10472770795931088,0.0013999999999999568,0.20945541591860517,bearish,5m
ADAUSDT,candle5m,SPOT,2025-06-10 21:25:18.867129,2025-06-09 00:55:00,0.6677,0.6684,0.6675,0.6684,20670.934,13808.7843818,0.0007000000000000339,0.10483750187210335,0.0009000000000000119,0.13479107383555666,bullish,5m
AVAXUSDT,candle5m,SPOT,2025-06-10 21:25:17.183786,2025-06-08 20:50:00,21.39,21.42,21.37,21.41,634.6225,13578.136452,0.019999999999999574,0.09350163627863288,0.05000000000000071,0.2337540906965905,bullish,5m
AVAXUSDT,candle5m,SPOT,2025-06-10 21:25:17.183802,2025-06-08 20:55:00,21.41,21.42,21.32,21.32,997.9381,21297.395369,-0.08999999999999986,-0.4203643157403076,0.10000000000000142,0.46707146193368254,bearish,5m
