symbol,lastPr,askPr,bidPr,bidSz,askSz,high24h,low24h,ts,change24h,baseVolume,quoteVolume,usdtVolume,openUtc,changeUtc24h,indexPrice,fundingRate,holdingAmount,deliveryStartTime,deliveryTime,deliveryStatus,open24h,markPrice,local_time
KAVAUSDT,0.4422,0.4424,0.4423,375.6,3089,0.4425,0.4184,1747904951391,0.03342,1801586.7,780791.9441,780791.9441,0.4309,0.02622,0.4421772092735726,0.0001,36574964.7,,,,0.4279,0.4422,2025-05-22 09:09:11.391
ENSUSDT,24.095,24.095,24.086,116.3,63,24.095,22.0,1747904951391,0.08229,129892.0,2991913.6877,2991913.6877,22.916,0.05145,24.0741755185550623,0.0001,679186.8,,,,22.263,24.087,2025-05-22 09:09:11.391
MTLUSDT,0.8574,0.8577,0.8575,145.2,78.8,0.8598,0.8011,1747904951391,0.06404,435082.8,359717.21553,359717.21553,0.8329,0.02942,0.8588061726957976,0.0001,531185.5,,,,0.8058,0.8582,2025-05-22 09:09:11.391
AUDIOUSDT,0.07849,0.07857,0.07845,10211,1000,0.07849,0.07417,1747904951391,0.05116,18574133.0,1418241.90167,1418241.90167,0.07636,0.02789,0.0783687677352215,0.000714,11816377,,,,0.07467,0.07849,2025-05-22 09:09:11.391
SXPUSDT,0.2084,0.2086,0.2084,306.8,4620,0.2086,0.1944,1747904951391,0.05787,1665253.9,335565.3506,335565.3506,0.202,0.03168,0.2083937893641396,0.0001,13573847.2,,,,0.197,0.2084,2025-05-22 09:09:11.391
C98USDT,0.06367,0.06369,0.06363,7723.5,2000,0.06368,0.05852,1747904951391,0.05993,13384328.5,818918.201241,818918.201241,0.06095,0.04463,0.063616893953932,0.0001,11475238.9,,,,0.06007,0.06362,2025-05-22 09:09:11.391
OPUSDT,0.787,0.7874,0.7868,7848.1,8759.2,0.7887,0.7135,1747904951391,0.08672,13526547.7,10090142.44188,10090142.44188,0.7441,0.05765,0.7864332305826733,0.0001,37914009.1,,,,0.7242,0.787,2025-05-22 09:09:11.391
RSRUSDT,0.009749,0.009745,0.009742,7250,14480,0.009769,0.008601,1747904951391,0.1229,164148595.0,1492084.202187,1492084.202187,0.009029,0.07974,0.0097413644481642,0.0001,668916799,,,,0.008682,0.009747,2025-05-22 09:09:11.391
SNXUSDT,0.8399,0.84,0.8394,833.6,74.9,0.8399,0.785,1747904951391,0.05994,863337.2,702348.59645,702348.59645,0.8146,0.03106,0.8399259690384665,0.0001,1222135.4,,,,0.7924,0.8399,2025-05-22 09:09:11.391
STORJUSDT,0.3133,0.3138,0.3137,1081.1,1143.7,0.3148,0.2913,1747904951391,0.06312,1259871.6,381865.51109,381865.51109,0.3033,0.03297,0.3136770238221835,0.0001,6687137,,,,0.2947,0.3137,2025-05-22 09:09:11.391
1INCHUSDT,0.2411,0.2411,0.241,1547.6,552.9,0.242,0.2229,1747904951391,0.06399,4919919.1,1130342.17797,1130342.17797,0.2306,0.04553,0.2412662211894924,0.0001,9362155.4,,,,0.2266,0.2413,2025-05-22 09:09:11.391
COMPUSDT,44.91,44.91,44.9,21.82,139.48,44.98,42.38,1747904951391,0.04783,16162.93,711926.284,711926.284,43.91,0.02277,44.9190138589503154,0.0001,102711.04,,,,42.86,44.91,2025-05-22 09:09:11.391
IMXUSDT,0.7015,0.7016,0.7015,995.6,1154.3,0.7033,0.6478,1747904951391,0.08106,3409995.7,2278324.18579,2278324.18579,0.6765,0.03695,0.7010865276153489,5e-05,12190047.8,,,,0.6489,0.7015,2025-05-22 09:09:11.391
LUNAUSDT,0.2045,0.2042,0.204,765,5146,0.2045,0.1897,1747904951391,0.06566,1523796.0,298241.025,298241.025,0.1959,0.0439,0.2043,0.0001,9278720,,,,0.1919,0.2043,2025-05-22 09:09:11.391
FLOWUSDT,0.4331,0.4332,0.4331,1045.8,258.4,0.4336,0.4008,1747904951391,0.07522,1751155.4,727351.55853,727351.55853,0.4161,0.04086,0.4332681322450456,0.0001,7078700,,,,0.4028,0.4332,2025-05-22 09:09:11.391
TRBUSDT,33.52,33.512,33.51,142.9,1.9,33.599,30.911,1747904951391,0.06935,42635.5,1379790.6148,1379790.6148,32.348,0.03623,33.5113703603817761,5e-05,88286.3,,,,31.346,33.513,2025-05-22 09:09:11.391
QTUMUSDT,2.395,2.4,2.399,478.5,26.9,2.401,2.24,1747904951391,0.0546,144408.0,333527.301,333527.301,2.312,0.0359,2.398785453235193,0.0001,666622.1,,,,2.271,2.399,2025-05-22 09:09:11.391
API3USDT,0.8891,0.8894,0.8891,468.2,149.5,0.89,0.8159,1747904951391,0.08467,1113755.5,944827.25553,944827.25553,0.8522,0.04412,0.8884108102400031,5e-05,5801709.2,,,,0.8197,0.8892,2025-05-22 09:09:11.391
MASKUSDT,1.886,1.889,1.887,316,3668,1.924,1.65,1747904951391,0.10811,2210841.7,3896755.5483,3896755.5483,1.718,0.09779,1.8846334616319167,0.0001,5370124.9,,,,1.702,1.886,2025-05-22 09:09:11.391
WOOUSDT,0.09658,0.09659,0.09654,54.4,2336.6,0.09692,0.08643,1747904951391,0.09402,10496590.0,945944.441065,945944.441065,0.0899,0.0743,0.0965840969779089,0.0001,24792109.7,,,,0.08828,0.09658,2025-05-22 09:09:11.391
GRTUSDT,0.1206,0.12053,0.12048,14780.7,211.1,0.1206,0.1086,1747904951391,0.09716,29580994.9,3353338.73159,3353338.73159,0.11455,0.05282,0.12041279565707,0.0001,143188766.6,,,,0.10992,0.12048,2025-05-22 09:09:11.391
BANDUSDT,0.8157,0.8161,0.8154,65.4,131.7,0.8164,0.7447,1747904951391,0.08298,632996.0,494404.63613,494404.63613,0.7788,0.04738,0.8169291050252562,0.0001,1986031,,,,0.7532,0.817,2025-05-22 09:09:11.391
STGUSDT,0.2029,0.2029,0.2027,1387,9222,0.2032,0.1945,1747904951391,0.02943,899202.0,179073.8159,179073.8159,0.1986,0.02165,0.2027309125704875,0.0001,6090798,,,,0.1971,0.2029,2025-05-22 09:09:11.391
LUNCUSDT,6.561e-05,6.564e-05,6.557e-05,1020861,1018875,6.564e-05,6.165e-05,1747904951391,0.05448,9027929756.0,575193.97037619,575193.97037619,0.00006365,0.03079,0.0000656178253422,0.0001,47371039031,,,,0.00006222,0.00006561,2025-05-22 09:09:11.391
ONEUSDT,0.0156,0.01562,0.01559,14014,164865,0.01564,0.01402,1747904951391,0.09167,19626776.0,287473.57018,287473.57018,0.01468,0.06267,0.0155976086417349,0.0001,145127166,,,,0.01429,0.0156,2025-05-22 09:09:11.391
JASMYUSDT,0.019449,0.019449,0.01944,144030,6197,0.019454,0.01766,1747904951391,0.08934,245836071.0,4495933.32848,4495933.32848,0.018187,0.06939,0.0194360784413808,0.0001,603837040,,,,0.017854,0.019443,2025-05-22 09:09:11.391
MKRUSDT,1798.3,1798.5,1797.8,1.889,0.072,1799.2,1684.3,1747904951391,0.02608,1582.333,2763981.8502,2763981.8502,1742.2,0.0322,1798.1670201927948222,0.0001,6184.721,,,,1752.6,1798.3,2025-05-22 09:09:11.391
BATUSDT,0.1564,0.1564,0.1563,1428.8,432.2,0.1564,0.1448,1747904951391,0.06612,3048070.1,454700.15314,454700.15314,0.1497,0.04476,0.1565993461092167,0.0001,3667198.8,,,,0.1467,0.1565,2025-05-22 09:09:11.391
MAGICUSDT,0.1795,0.1793,0.1791,21633.8,19327.5,0.1797,0.1616,1747904951391,0.0992,4451651.0,758901.82694,758901.82694,0.1697,0.05775,0.1793448497472987,5e-05,10262403,,,,0.1633,0.1793,2025-05-22 09:09:11.391
ALPHAUSDT,0.03166,0.03167,0.03165,2688,2682,0.03187,0.02986,1747904951391,0.03837,28372621.0,872797.54243,872797.54243,0.03131,0.01118,0.0316802895672504,0.0001,74030139,,,,0.03049,0.03167,2025-05-22 09:09:11.391
LDOUSDT,0.9686,0.9687,0.9677,89,2906.9,0.9707,0.869,1747904951391,0.08308,4536977.3,4119010.62288,4119010.62288,0.9002,0.07598,0.9685189235403669,0.0001,10469006.1,,,,0.8943,0.9686,2025-05-22 09:09:11.391
CELOUSDT,0.4048,0.4048,0.4046,627.1,159.3,0.407,0.3741,1747904951391,0.07033,2016337.4,784554.7957,784554.7957,0.3885,0.04196,0.4050011642346653,0.0001,4232514.1,,,,0.3782,0.4048,2025-05-22 09:09:11.391
BLURUSDT,0.1112,0.1113,0.1112,19400.8,10409.5,0.1112,0.1033,1747904951391,0.0744,3842966.8,410103.474,410103.474,0.107,0.03925,0.1111671196701675,0.0001,33291886.9,,,,0.1035,0.1112,2025-05-22 09:09:11.391
MINAUSDT,0.2644,0.2643,0.2639,2932.2,254.1,0.2644,0.2456,1747904951391,0.0627,1869628.0,475665.10603,475665.10603,0.2545,0.0389,0.2643935713925538,0.0001,5993002.4,,,,0.2488,0.2644,2025-05-22 09:09:11.391
COREUSDT,0.83676,0.83672,0.8364,384.6,81.2,0.89297,0.74792,1747904951391,0.10677,2859543.1,2353241.454877,2353241.454877,0.8475,-0.01267,0.8373800403924352,0.0001,3795885.3,,,,0.75604,0.83711,2025-05-22 09:09:11.391
CFXUSDT,0.0978,0.09777,0.09774,700,5527,0.09791,0.09036,1747904951391,0.07473,9389769.0,881692.85635,881692.85635,0.09425,0.03767,0.0977955747072016,0.0001,18048152,,,,0.091,0.0978,2025-05-22 09:09:11.391
ASTRUSDT,0.03148,0.03148,0.03147,10580,2166,0.03161,0.02947,1747904951391,0.05003,18107295.0,551138.49422,551138.49422,0.03044,0.03417,0.0315088553034683,0.0001,74351435,,,,0.02998,0.03148,2025-05-22 09:09:11.391
GMXUSDT,16.25,16.26,16.25,30.64,52.75,16.29,14.93,1747904951391,0.07545,19920.79,309035.5321,309035.5321,15.47,0.05042,16.2590255155872894,0.0001,74999.89,,,,15.11,16.26,2025-05-22 09:09:11.391
ANKRUSDT,0.01948,0.01952,0.01951,52248,3934,0.01951,0.01834,1747904951391,0.04171,25100205.0,478090.50305,478090.50305,0.01883,0.03452,0.0195041723132174,0.000146,311000107,,,,0.0187,0.01951,2025-05-22 09:09:11.391
ACHUSDT,0.025821,0.02582,0.025802,3556,2500,0.025841,0.024382,1747904951391,0.04878,49410278.0,1242017.413026,1242017.413026,0.02512,0.02791,0.0258150659393447,0.0001,94386189,,,,0.02462,0.025819,2025-05-22 09:09:11.391
FETUSDT,0.8396,0.8398,0.8395,3338,1259,0.8459,0.7649,1747904951391,0.076,29208899.0,23443203.6006,23443203.6006,0.806,0.04169,0.8389156999810711,0.000141,75599296,,,,0.7803,0.8396,2025-05-22 09:09:11.391
FXSUSDT,3.639,3.637,3.636,65.36,15.36,3.934,3.593,1747904951391,-0.02072,707357.75,2609925.18342,2609925.18342,3.787,-0.03908,3.6406484690265537,0.0001,638169.68,,,,3.716,3.639,2025-05-22 09:09:11.391
HOOKUSDT,0.1535,0.1535,0.1534,3193.56,460.36,0.1539,0.1378,1747904951391,0.09253,2558678.24,370197.279413,370197.279413,0.1465,0.04778,0.1535317274392983,0.0001,12109115.81,,,,0.1405,0.1535,2025-05-22 09:09:11.391
SSVUSDT,9.928,9.927,9.921,13.42,77.48,9.942,9.022,1747904951391,0.09123,94943.54,896258.07932,896258.07932,9.518,0.04308,9.9244230166251212,0.0001,234570.14,,,,9.098,9.928,2025-05-22 09:09:11.391
USDCUSDT,0.9989,0.9991,0.9985,2003,6025.2,0.9995,0.9982,1747904951391,0.0002,2284533.1,2282152.8636,2282152.8636,0.9988,0.0001,0.9997,-2e-06,12788151,,,,0.9987,0.9989,2025-05-22 09:09:11.391
LQTYUSDT,1.0343,1.0349,1.0337,63.8,64,1.0396,0.9314,1747904951391,0.08679,1361038.1,1344262.00887,1344262.00887,0.962,0.07516,1.0355129819018176,0.0001,895977.9,,,,0.9517,1.0345,2025-05-22 09:09:11.391
STXUSDT,0.983,0.9833,0.9828,1611.3,1467.1,1.0022,0.8877,1747904951391,0.08511,7395386.5,6964262.11935,6964262.11935,0.9328,0.05382,0.9825938838096978,0.0001,18824713.2,,,,0.9059,0.983,2025-05-22 09:09:11.391
TRUUSDT,0.04523,0.04529,0.04524,1223,1223,0.04528,0.04176,1747904951391,0.05826,14671268.0,641569.37355,641569.37355,0.0432,0.04699,0.0452747671871019,0.0001,31377978,,,,0.04274,0.04527,2025-05-22 09:09:11.391
HBARUSDT,0.20393,0.20394,0.20392,2330,3056,0.20444,0.19221,1747904951391,0.04232,139540726.0,27587570.09889,27587570.09889,0.19807,0.02964,0.2037681057285856,0.0001,770629817,,,,0.19565,0.20393,2025-05-22 09:09:11.391
INJUSDT,13.277,13.27,13.264,40.3,442,13.284,11.852,1747904951391,0.10247,766670.1,9527699.4359,9527699.4359,12.385,0.07202,13.2689164776688906,0.0001,2349586.6,,,,12.043,13.273,2025-05-22 09:09:11.391
BELUSDT,0.3496,0.3498,0.3496,187,375,0.3514,0.331,1747904951391,0.04141,1267036.0,434010.6578,434010.6578,0.3424,0.02103,0.3495660904633867,0.0001,5676062,,,,0.3357,0.3496,2025-05-22 09:09:11.391
COTIUSDT,0.07533,0.07537,0.07533,1991,28,0.07536,0.06957,1747904951391,0.06579,8680223.0,621991.25954,621991.25954,0.07197,0.04669,0.075339258434391,0.0001,27258060,,,,0.07068,0.07535,2025-05-22 09:09:11.391
VETUSDT,0.030423,0.030425,0.030408,2462,5750,0.030455,0.027936,1747904951391,0.0746,158580491.0,4604829.898751,4604829.898751,0.029174,0.04281,0.0303842048211062,0.0001,1584777987,,,,0.028311,0.030423,2025-05-22 09:09:11.391
ARBUSDT,0.43,0.4301,0.4299,4422.1,19748.55,0.4306,0.3911,1747904951391,0.08723,22325527.75,9190229.527036,9190229.527036,0.411,0.04623,0.430029984205957,0.0001,60830746.68,,,,0.3955,0.43,2025-05-22 09:09:11.391
LOOKSUSDT,0.01845,0.01846,0.01844,9737.5,6736,0.0188,0.01663,1747904951391,0.08148,35476779.0,629155.838831,629155.838831,0.01756,0.05068,0.0184002075236658,0.0001,131127620.9,,,,0.01706,0.01844,2025-05-22 09:09:11.391
KAIAUSDT,0.1206,0.1209,0.1208,2607,2601.5,0.1216,0.1151,1747904951391,0.03519,3254428.4,385853.10533,385853.10533,0.1192,0.01174,0.1205172750532314,5e-05,32350163.5,,,,0.1165,0.1206,2025-05-22 09:09:11.391
FLMUSDT,0.03696,0.03702,0.03697,1975,2043,0.03748,0.03284,1747904951391,0.11493,43335296.0,1543519.96223,1543519.96223,0.03502,0.0554,0.0369112908471418,2.5e-05,109132733,,,,0.03315,0.03696,2025-05-22 09:09:11.391
